network,station,location,channel,lat,lon,elev,sensitivity,sensitivityFrequency,instrument,sensitivityUnits,sacpz_file,start,end
NV,ENWF,,HHE,47.959766,-129.124479,-2361,470625000,1,Guralp CMG-1T 360s/Guralp CMG-DM24 Datalogger,M/S,16,736603,Inf
NV,ENWF,,HHN,47.959766,-129.124479,-2361,465625000,1,Guralp CMG-1T 360s/Guralp CMG-DM24 Datalogger,M/S,17,736603,Inf
NV,ENWF,,HHZ,47.959766,-129.124479,-2361,466250000,1,Guralp CMG-1T 360s/Guralp CMG-DM24 Datalogger,M/S,18,736603,Inf
NV,ENHR,,HH1,47.968657,-129.086738,-2162,1876075637,1,Guralp Maris Radian/24-bit built-in digitiser,M/S,10,737240,737686
NV,ENHR,,HH2,47.968657,-129.086738,-2162,1874174022,1,Guralp Maris Radian/24-bit built-in digitiser,M/S,11,737240,737686
NV,ENHR,,HH3,47.968657,-129.086738,-2162,1635141643,1,Guralp Maris Radian/24-bit built-in digitiser,M/S,12,737240,737686
NV,ENEF,,CH2,47.958633,-129.035492,-2325,1813877305,1,Guralp Maris Radian,M/S,34,738388,Inf
NV,ENEF,,CH1,47.958633,-129.035492,-2325,1507726422,1,Guralp Maris Radian,M/S,35,738388,Inf
NV,ENEF,,CHZ,47.958633,-129.035492,-2325,1822022302,1,Guralp Maris Radian,M/S,36,738388,Inf
NV,KEMO,,EHE,47.924102,-129.1082,-2270,2117784418,10,GeoSENSE BH-1 Corehole Seismometer/Guralp DM24-MK3 Datalogger,M/S,13,736500,737289
NV,KEMO,,EHN,47.924102,-129.1082,-2270,2092786586,10,GeoSENSE BH-1 Corehole Seismometer/Guralp DM24-MK3 Datalogger,M/S,14,736500,737289
NV,KEMO,,EHZ,47.924102,-129.1082,-2270,2102745938,10,GeoSENSE BH-1 Corehole Seismometer/Guralp DM24-MK3 Datalogger,M/S,15,736500,737289
NV,KEMO,,HHZ,47.924102,-129.1082,-2270,468125420.2,1,Guralp CMG-1T 360s/Guralp CMG-DM24 Datalogger,M/S,28,738044,Inf
NV,KEMO,,HHN,47.924102,-129.1082,-2270,466250418.5,1,Guralp CMG-1T 360s/Guralp CMG-DM24 Datalogger,M/S,29,738044,Inf
NV,KEMO,,HHE,47.924102,-129.1082,-2270,473750425.2,1,Guralp CMG-1T 360s/Guralp CMG-DM24 Datalogger,M/S,30,738044,Inf
NV,NCHR,,EHE,47.973752,-129.08209,-2152,2062410000,10,GeoSENSE BH-1 Corehole Seismometer/Guralp DM24-MK3,M/S,19,734415,734759
NV,NCHR,,EHN,47.973752,-129.08209,-2152,2192830000,10,GeoSENSE BH-1 Corehole Seismometer/Guralp DM24-MK3,M/S,20,734415,734759
